date,ticker_count,non_null_ratio_count,classification_ready_count
2010-01-08,11,9,0
2010-01-15,11,9,0
2010-01-22,11,9,0
2010-01-29,11,9,0
2010-02-05,11,9,0
2010-02-12,11,9,0
2010-02-19,11,9,0
2010-02-26,11,9,9
2010-03-05,11,9,9
2010-03-12,11,9,9
2010-03-19,11,9,9
2010-03-26,11,9,9
2010-04-02,11,9,9
2010-04-09,11,9,9
2010-04-16,11,9,9
2010-04-23,11,9,9
2010-04-30,11,9,9
2010-05-07,11,9,9
2010-05-14,11,9,9
2010-05-21,11,9,9
2010-05-28,11,9,9
2010-06-04,11,9,9
2010-06-11,11,9,9
2010-06-18,11,9,9
2010-06-25,11,9,9
2010-07-02,11,9,9
2010-07-09,11,9,9
2010-07-16,11,9,9
2010-07-23,11,9,9
2010-07-30,11,9,9
2010-08-06,11,9,9
2010-08-13,11,9,9
2010-08-20,11,9,9
2010-08-27,11,9,9
2010-09-03,11,9,9
2010-09-10,11,9,9
2010-09-17,11,9,9
2010-09-24,11,9,9
2010-10-01,11,9,9
2010-10-08,11,9,9
2010-10-15,11,9,9
2010-10-22,11,9,9
2010-10-29,11,9,9
2010-11-05,11,9,9
2010-11-12,11,9,9
2010-11-19,11,9,9
2010-11-26,11,9,9
2010-12-03,11,9,9
2010-12-10,11,9,9
2010-12-17,11,9,9
2010-12-24,11,9,9
2010-12-31,11,9,9
2011-01-07,11,9,9
2011-01-14,11,9,9
2011-01-21,11,9,9
2011-01-28,11,9,9
2011-02-04,11,9,9
2011-02-11,11,9,9
2011-02-18,11,9,9
2011-02-25,11,9,9
2011-03-04,11,9,9
2011-03-11,11,9,9
2011-03-18,11,9,9
2011-03-25,11,9,9
2011-04-01,11,9,9
2011-04-08,11,9,9
2011-04-15,11,9,9
2011-04-22,11,9,9
2011-04-29,11,9,9
2011-05-06,11,9,9
2011-05-13,11,9,9
2011-05-20,11,9,9
2011-05-27,11,9,9
2011-06-03,11,9,9
2011-06-10,11,9,9
2011-06-17,11,9,9
2011-06-24,11,9,9
2011-07-01,11,9,9
2011-07-08,11,9,9
2011-07-15,11,9,9
2011-07-22,11,9,9
2011-07-29,11,9,9
2011-08-05,11,9,9
2011-08-12,11,9,9
2011-08-19,11,9,9
2011-08-26,11,9,9
2011-09-02,11,9,9
2011-09-09,11,9,9
2011-09-16,11,9,9
2011-09-23,11,9,9
2011-09-30,11,9,9
2011-10-07,11,9,9
2011-10-14,11,9,9
2011-10-21,11,9,9
2011-10-28,11,9,9
2011-11-04,11,9,9
2011-11-11,11,9,9
2011-11-18,11,9,9
2011-11-25,11,9,9
2011-12-02,11,9,9
2011-12-09,11,9,9
2011-12-16,11,9,9
2011-12-23,11,9,9
2011-12-30,11,9,9
2012-01-06,11,9,9
2012-01-13,11,9,9
2012-01-20,11,9,9
2012-01-27,11,9,9
2012-02-03,11,9,9
2012-02-10,11,9,9
2012-02-17,11,9,9
2012-02-24,11,9,9
2012-03-02,11,9,9
2012-03-09,11,9,9
2012-03-16,11,9,9
2012-03-23,11,9,9
2012-03-30,11,9,9
2012-04-06,11,9,9
2012-04-13,11,9,9
2012-04-20,11,9,9
2012-04-27,11,9,9
2012-05-04,11,9,9
2012-05-11,11,9,9
2012-05-18,11,9,9
2012-05-25,11,9,9
2012-06-01,11,9,9
2012-06-08,11,9,9
2012-06-15,11,9,9
2012-06-22,11,9,9
2012-06-29,11,9,9
2012-07-06,11,9,9
2012-07-13,11,9,9
2012-07-20,11,9,9
2012-07-27,11,9,9
2012-08-03,11,9,9
2012-08-10,11,9,9
2012-08-17,11,9,9
2012-08-24,11,9,9
2012-08-31,11,9,9
2012-09-07,11,9,9
2012-09-14,11,9,9
2012-09-21,11,9,9
2012-09-28,11,9,9
2012-10-05,11,9,9
2012-10-12,11,9,9
2012-10-19,11,9,9
2012-10-26,11,9,9
2012-11-02,11,9,9
2012-11-09,11,9,9
2012-11-16,11,9,9
2012-11-23,11,9,9
2012-11-30,11,9,9
2012-12-07,11,9,9
2012-12-14,11,9,9
2012-12-21,11,9,9
2012-12-28,11,9,9
2013-01-04,11,9,9
2013-01-11,11,9,9
2013-01-18,11,9,9
2013-01-25,11,9,9
2013-02-01,11,9,9
2013-02-08,11,9,9
2013-02-15,11,9,9
2013-02-22,11,9,9
2013-03-01,11,9,9
2013-03-08,11,9,9
2013-03-15,11,9,9
2013-03-22,11,9,9
2013-03-29,11,9,9
2013-04-05,11,9,9
2013-04-12,11,9,9
2013-04-19,11,9,9
2013-04-26,11,9,9
2013-05-03,11,9,9
2013-05-10,11,9,9
2013-05-17,11,9,9
2013-05-24,11,9,9
2013-05-31,11,9,9
2013-06-07,11,9,9
2013-06-14,11,9,9
2013-06-21,11,9,9
2013-06-28,11,9,9
2013-07-05,11,9,9
2013-07-12,11,9,9
2013-07-19,11,9,9
2013-07-26,11,9,9
2013-08-02,11,9,9
2013-08-09,11,9,9
2013-08-16,11,9,9
2013-08-23,11,9,9
2013-08-30,11,9,9
2013-09-06,11,9,9
2013-09-13,11,9,9
2013-09-20,11,9,9
2013-09-27,11,9,9
2013-10-04,11,9,9
2013-10-11,11,9,9
2013-10-18,11,9,9
2013-10-25,11,9,9
2013-11-01,11,9,9
2013-11-08,11,9,9
2013-11-15,11,9,9
2013-11-22,11,9,9
2013-11-29,11,9,9
2013-12-06,11,9,9
2013-12-13,11,9,9
2013-12-20,11,9,9
2013-12-27,11,9,9
2014-01-03,11,9,9
2014-01-10,11,9,9
2014-01-17,11,9,9
2014-01-24,11,9,9
2014-01-31,11,9,9
2014-02-07,11,9,9
2014-02-14,11,9,9
2014-02-21,11,9,9
2014-02-28,11,9,9
2014-03-07,11,9,9
2014-03-14,11,9,9
2014-03-21,11,9,9
2014-03-28,11,9,9
2014-04-04,11,9,9
2014-04-11,11,9,9
2014-04-18,11,9,9
2014-04-25,11,9,9
2014-05-02,11,9,9
2014-05-09,11,9,9
2014-05-16,11,9,9
2014-05-23,11,9,9
2014-05-30,11,9,9
2014-06-06,11,9,9
2014-06-13,11,9,9
2014-06-20,11,9,9
2014-06-27,11,9,9
2014-07-04,11,9,9
2014-07-11,11,9,9
2014-07-18,11,9,9
2014-07-25,11,9,9
2014-08-01,11,9,9
2014-08-08,11,9,9
2014-08-15,11,9,9
2014-08-22,11,9,9
2014-08-29,11,9,9
2014-09-05,11,9,9
2014-09-12,11,9,9
2014-09-19,11,9,9
2014-09-26,11,9,9
2014-10-03,11,9,9
2014-10-10,11,9,9
2014-10-17,11,9,9
2014-10-24,11,9,9
2014-10-31,11,9,9
2014-11-07,11,9,9
2014-11-14,11,9,9
2014-11-21,11,9,9
2014-11-28,11,9,9
2014-12-05,11,9,9
2014-12-12,11,9,9
2014-12-19,11,9,9
2014-12-26,11,9,9
2015-01-02,11,9,9
2015-01-09,11,9,9
2015-01-16,11,9,9
2015-01-23,11,9,9
2015-01-30,11,9,9
2015-02-06,11,9,9
2015-02-13,11,9,9
2015-02-20,11,9,9
2015-02-27,11,9,9
2015-03-06,11,9,9
2015-03-13,11,9,9
2015-03-20,11,9,9
2015-03-27,11,9,9
2015-04-03,11,9,9
2015-04-10,11,9,9
2015-04-17,11,9,9
2015-04-24,11,9,9
2015-05-01,11,9,9
2015-05-08,11,9,9
2015-05-15,11,9,9
2015-05-22,11,9,9
2015-05-29,11,9,9
2015-06-05,11,9,9
2015-06-12,11,9,9
2015-06-19,11,9,9
2015-06-26,11,9,9
2015-07-03,11,9,9
2015-07-10,11,9,9
2015-07-17,11,9,9
2015-07-24,11,9,9
2015-07-31,11,9,9
2015-08-07,11,9,9
2015-08-14,11,9,9
2015-08-21,11,9,9
2015-08-28,11,9,9
2015-09-04,11,9,9
2015-09-11,11,9,9
2015-09-18,11,9,9
2015-09-25,11,9,9
2015-10-02,11,9,9
2015-10-09,11,10,9
2015-10-16,11,10,9
2015-10-23,11,10,9
2015-10-30,11,10,9
2015-11-06,11,10,9
2015-11-13,11,10,9
2015-11-20,11,10,9
2015-11-27,11,10,10
2015-12-04,11,10,10
2015-12-11,11,10,10
2015-12-18,11,10,10
2015-12-25,11,10,10
2016-01-01,11,10,10
2016-01-08,11,10,10
2016-01-15,11,10,10
2016-01-22,11,10,10
2016-01-29,11,10,10
2016-02-05,11,10,10
2016-02-12,11,10,10
2016-02-19,11,10,10
2016-02-26,11,10,10
2016-03-04,11,10,10
2016-03-11,11,10,10
2016-03-18,11,10,10
2016-03-25,11,10,10
2016-04-01,11,10,10
2016-04-08,11,10,10
2016-04-15,11,10,10
2016-04-22,11,10,10
2016-04-29,11,10,10
2016-05-06,11,10,10
2016-05-13,11,10,10
2016-05-20,11,10,10
2016-05-27,11,10,10
2016-06-03,11,10,10
2016-06-10,11,10,10
2016-06-17,11,10,10
2016-06-24,11,10,10
2016-07-01,11,10,10
2016-07-08,11,10,10
2016-07-15,11,10,10
2016-07-22,11,10,10
2016-07-29,11,10,10
2016-08-05,11,10,10
2016-08-12,11,10,10
2016-08-19,11,10,10
2016-08-26,11,10,10
2016-09-02,11,10,10
2016-09-09,11,10,10
2016-09-16,11,10,10
2016-09-23,11,10,10
2016-09-30,11,10,10
2016-10-07,11,10,10
2016-10-14,11,10,10
2016-10-21,11,10,10
2016-10-28,11,10,10
2016-11-04,11,10,10
2016-11-11,11,10,10
2016-11-18,11,10,10
2016-11-25,11,10,10
2016-12-02,11,10,10
2016-12-09,11,10,10
2016-12-16,11,10,10
2016-12-23,11,10,10
2016-12-30,11,10,10
2017-01-06,11,10,10
2017-01-13,11,10,10
2017-01-20,11,10,10
2017-01-27,11,10,10
2017-02-03,11,10,10
2017-02-10,11,10,10
2017-02-17,11,10,10
2017-02-24,11,10,10
2017-03-03,11,10,10
2017-03-10,11,10,10
2017-03-17,11,10,10
2017-03-24,11,10,10
2017-03-31,11,10,10
2017-04-07,11,10,10
2017-04-14,11,10,10
2017-04-21,11,10,10
2017-04-28,11,10,10
2017-05-05,11,10,10
2017-05-12,11,10,10
2017-05-19,11,10,10
2017-05-26,11,10,10
2017-06-02,11,10,10
2017-06-09,11,10,10
2017-06-16,11,10,10
2017-06-23,11,10,10
2017-06-30,11,10,10
2017-07-07,11,10,10
2017-07-14,11,10,10
2017-07-21,11,10,10
2017-07-28,11,10,10
2017-08-04,11,10,10
2017-08-11,11,10,10
2017-08-18,11,10,10
2017-08-25,11,10,10
2017-09-01,11,10,10
2017-09-08,11,10,10
2017-09-15,11,10,10
2017-09-22,11,10,10
2017-09-29,11,10,10
2017-10-06,11,10,10
2017-10-13,11,10,10
2017-10-20,11,10,10
2017-10-27,11,10,10
2017-11-03,11,10,10
2017-11-10,11,10,10
2017-11-17,11,10,10
2017-11-24,11,10,10
2017-12-01,11,10,10
2017-12-08,11,10,10
2017-12-15,11,10,10
2017-12-22,11,10,10
2017-12-29,11,10,10
2018-01-05,11,10,10
2018-01-12,11,10,10
2018-01-19,11,10,10
2018-01-26,11,10,10
2018-02-02,11,10,10
2018-02-09,11,10,10
2018-02-16,11,10,10
2018-02-23,11,10,10
2018-03-02,11,10,10
2018-03-09,11,10,10
2018-03-16,11,10,10
2018-03-23,11,10,10
2018-03-30,11,10,10
2018-04-06,11,10,10
2018-04-13,11,10,10
2018-04-20,11,10,10
2018-04-27,11,10,10
2018-05-04,11,10,10
2018-05-11,11,10,10
2018-05-18,11,10,10
2018-05-25,11,10,10
2018-06-01,11,10,10
2018-06-08,11,10,10
2018-06-15,11,10,10
2018-06-22,11,11,10
2018-06-29,11,11,10
2018-07-06,11,11,10
2018-07-13,11,11,10
2018-07-20,11,11,10
2018-07-27,11,11,10
2018-08-03,11,11,10
2018-08-10,11,11,11
2018-08-17,11,11,11
2018-08-24,11,11,11
2018-08-31,11,11,11
2018-09-07,11,11,11
2018-09-14,11,11,11
2018-09-21,11,11,11
2018-09-28,11,11,11
2018-10-05,11,11,11
2018-10-12,11,11,11
2018-10-19,11,11,11
2018-10-26,11,11,11
2018-11-02,11,11,11
2018-11-09,11,11,11
2018-11-16,11,11,11
2018-11-23,11,11,11
2018-11-30,11,11,11
2018-12-07,11,11,11
2018-12-14,11,11,11
2018-12-21,11,11,11
2018-12-28,11,11,11
2019-01-04,11,11,11
2019-01-11,11,11,11
2019-01-18,11,11,11
2019-01-25,11,11,11
2019-02-01,11,11,11
2019-02-08,11,11,11
2019-02-15,11,11,11
2019-02-22,11,11,11
2019-03-01,11,11,11
2019-03-08,11,11,11
2019-03-15,11,11,11
2019-03-22,11,11,11
2019-03-29,11,11,11
2019-04-05,11,11,11
2019-04-12,11,11,11
2019-04-19,11,11,11
2019-04-26,11,11,11
2019-05-03,11,11,11
2019-05-10,11,11,11
2019-05-17,11,11,11
2019-05-24,11,11,11
2019-05-31,11,11,11
2019-06-07,11,11,11
2019-06-14,11,11,11
2019-06-21,11,11,11
2019-06-28,11,11,11
2019-07-05,11,11,11
2019-07-12,11,11,11
2019-07-19,11,11,11
2019-07-26,11,11,11
2019-08-02,11,11,11
2019-08-09,11,11,11
2019-08-16,11,11,11
2019-08-23,11,11,11
2019-08-30,11,11,11
2019-09-06,11,11,11
2019-09-13,11,11,11
2019-09-20,11,11,11
2019-09-27,11,11,11
2019-10-04,11,11,11
2019-10-11,11,11,11
2019-10-18,11,11,11
2019-10-25,11,11,11
2019-11-01,11,11,11
2019-11-08,11,11,11
2019-11-15,11,11,11
2019-11-22,11,11,11
2019-11-29,11,11,11
2019-12-06,11,11,11
2019-12-13,11,11,11
2019-12-20,11,11,11
2019-12-27,11,11,11
2020-01-03,11,11,11
2020-01-10,11,11,11
2020-01-17,11,11,11
2020-01-24,11,11,11
2020-01-31,11,11,11
2020-02-07,11,11,11
2020-02-14,11,11,11
2020-02-21,11,11,11
2020-02-28,11,11,11
2020-03-06,11,11,11
2020-03-13,11,11,11
2020-03-20,11,11,11
2020-03-27,11,11,11
2020-04-03,11,11,11
2020-04-10,11,11,11
2020-04-17,11,11,11
2020-04-24,11,11,11
2020-05-01,11,11,11
2020-05-08,11,11,11
2020-05-15,11,11,11
2020-05-22,11,11,11
2020-05-29,11,11,11
2020-06-05,11,11,11
2020-06-12,11,11,11
2020-06-19,11,11,11
2020-06-26,11,11,11
2020-07-03,11,11,11
2020-07-10,11,11,11
2020-07-17,11,11,11
2020-07-24,11,11,11
2020-07-31,11,11,11
2020-08-07,11,11,11
2020-08-14,11,11,11
2020-08-21,11,11,11
2020-08-28,11,11,11
2020-09-04,11,11,11
2020-09-11,11,11,11
2020-09-18,11,11,11
2020-09-25,11,11,11
2020-10-02,11,11,11
2020-10-09,11,11,11
2020-10-16,11,11,11
2020-10-23,11,11,11
2020-10-30,11,11,11
2020-11-06,11,11,11
2020-11-13,11,11,11
2020-11-20,11,11,11
2020-11-27,11,11,11
2020-12-04,11,11,11
2020-12-11,11,11,11
2020-12-18,11,11,11
2020-12-25,11,11,11
2021-01-01,11,11,11
2021-01-08,11,11,11
2021-01-15,11,11,11
2021-01-22,11,11,11
2021-01-29,11,11,11
2021-02-05,11,11,11
2021-02-12,11,11,11
2021-02-19,11,11,11
2021-02-26,11,11,11
2021-03-05,11,11,11
2021-03-12,11,11,11
2021-03-19,11,11,11
2021-03-26,11,11,11
2021-04-02,11,11,11
2021-04-09,11,11,11
2021-04-16,11,11,11
2021-04-23,11,11,11
2021-04-30,11,11,11
2021-05-07,11,11,11
2021-05-14,11,11,11
2021-05-21,11,11,11
2021-05-28,11,11,11
2021-06-04,11,11,11
2021-06-11,11,11,11
2021-06-18,11,11,11
2021-06-25,11,11,11
2021-07-02,11,11,11
2021-07-09,11,11,11
2021-07-16,11,11,11
2021-07-23,11,11,11
2021-07-30,11,11,11
2021-08-06,11,11,11
2021-08-13,11,11,11
2021-08-20,11,11,11
2021-08-27,11,11,11
2021-09-03,11,11,11
2021-09-10,11,11,11
2021-09-17,11,11,11
2021-09-24,11,11,11
2021-10-01,11,11,11
2021-10-08,11,11,11
2021-10-15,11,11,11
2021-10-22,11,11,11
2021-10-29,11,11,11
2021-11-05,11,11,11
2021-11-12,11,11,11
2021-11-19,11,11,11
2021-11-26,11,11,11
2021-12-03,11,11,11
2021-12-10,11,11,11
2021-12-17,11,11,11
2021-12-24,11,11,11
2021-12-31,11,11,11
2022-01-07,11,11,11
2022-01-14,11,11,11
2022-01-21,11,11,11
2022-01-28,11,11,11
2022-02-04,11,11,11
2022-02-11,11,11,11
2022-02-18,11,11,11
2022-02-25,11,11,11
2022-03-04,11,11,11
2022-03-11,11,11,11
2022-03-18,11,11,11
2022-03-25,11,11,11
2022-04-01,11,11,11
2022-04-08,11,11,11
2022-04-15,11,11,11
2022-04-22,11,11,11
2022-04-29,11,11,11
2022-05-06,11,11,11
2022-05-13,11,11,11
2022-05-20,11,11,11
2022-05-27,11,11,11
2022-06-03,11,11,11
2022-06-10,11,11,11
2022-06-17,11,11,11
2022-06-24,11,11,11
2022-07-01,11,11,11
2022-07-08,11,11,11
2022-07-15,11,11,11
2022-07-22,11,11,11
2022-07-29,11,11,11
2022-08-05,11,11,11
2022-08-12,11,11,11
2022-08-19,11,11,11
2022-08-26,11,11,11
2022-09-02,11,11,11
2022-09-09,11,11,11
2022-09-16,11,11,11
2022-09-23,11,11,11
2022-09-30,11,11,11
2022-10-07,11,11,11
2022-10-14,11,11,11
2022-10-21,11,11,11
2022-10-28,11,11,11
2022-11-04,11,11,11
2022-11-11,11,11,11
2022-11-18,11,11,11
2022-11-25,11,11,11
2022-12-02,11,11,11
2022-12-09,11,11,11
2022-12-16,11,11,11
2022-12-23,11,11,11
2022-12-30,11,11,11
2023-01-06,11,11,11
2023-01-13,11,11,11
2023-01-20,11,11,11
2023-01-27,11,11,11
2023-02-03,11,11,11
2023-02-10,11,11,11
2023-02-17,11,11,11
2023-02-24,11,11,11
2023-03-03,11,11,11
2023-03-10,11,11,11
2023-03-17,11,11,11
2023-03-24,11,11,11
2023-03-31,11,11,11
2023-04-07,11,11,11
2023-04-14,11,11,11
2023-04-21,11,11,11
2023-04-28,11,11,11
2023-05-05,11,11,11
2023-05-12,11,11,11
2023-05-19,11,11,11
2023-05-26,11,11,11
2023-06-02,11,11,11
2023-06-09,11,11,11
2023-06-16,11,11,11
2023-06-23,11,11,11
2023-06-30,11,11,11
2023-07-07,11,11,11
2023-07-14,11,11,11
2023-07-21,11,11,11
2023-07-28,11,11,11
2023-08-04,11,11,11
2023-08-11,11,11,11
2023-08-18,11,11,11
2023-08-25,11,11,11
2023-09-01,11,11,11
2023-09-08,11,11,11
2023-09-15,11,11,11
2023-09-22,11,11,11
2023-09-29,11,11,11
2023-10-06,11,11,11
2023-10-13,11,11,11
2023-10-20,11,11,11
2023-10-27,11,11,11
2023-11-03,11,11,11
2023-11-10,11,11,11
2023-11-17,11,11,11
2023-11-24,11,11,11
2023-12-01,11,11,11
2023-12-08,11,11,11
2023-12-15,11,11,11
2023-12-22,11,11,11
2023-12-29,11,11,11
2024-01-05,11,11,11
2024-01-12,11,11,11
2024-01-19,11,11,11
2024-01-26,11,11,11
2024-02-02,11,11,11
2024-02-09,11,11,11
2024-02-16,11,11,11
2024-02-23,11,11,11
2024-03-01,11,11,11
2024-03-08,11,11,11
2024-03-15,11,11,11
2024-03-22,11,11,11
2024-03-29,11,11,11
2024-04-05,11,11,11
2024-04-12,11,11,11
2024-04-19,11,11,11
2024-04-26,11,11,11
2024-05-03,11,11,11
2024-05-10,11,11,11
2024-05-17,11,11,11
2024-05-24,11,11,11
2024-05-31,11,11,11
2024-06-07,11,11,11
2024-06-14,11,11,11
2024-06-21,11,11,11
2024-06-28,11,11,11
2024-07-05,11,11,11
2024-07-12,11,11,11
2024-07-19,11,11,11
2024-07-26,11,11,11
2024-08-02,11,11,11
2024-08-09,11,11,11
2024-08-16,11,11,11
2024-08-23,11,11,11
2024-08-30,11,11,11
2024-09-06,11,11,11
2024-09-13,11,11,11
2024-09-20,11,11,11
2024-09-27,11,11,11
2024-10-04,11,11,11
2024-10-11,11,11,11
2024-10-18,11,11,11
2024-10-25,11,11,11
2024-11-01,11,11,11
2024-11-08,11,11,11
2024-11-15,11,11,11
2024-11-22,11,11,11
2024-11-29,11,11,11
2024-12-06,11,11,11
2024-12-13,11,11,11
2024-12-20,11,11,11
2024-12-27,11,11,11
2025-01-03,11,11,11
2025-01-10,11,11,11
2025-01-17,11,11,11
2025-01-24,11,11,11
2025-01-31,11,11,11
2025-02-07,11,11,11
2025-02-14,11,11,11
2025-02-21,11,11,11
2025-02-28,11,11,11
2025-03-07,11,11,11
2025-03-14,11,11,11
2025-03-21,11,11,11
2025-03-28,11,11,11
2025-04-04,11,11,11
2025-04-11,11,11,11
2025-04-18,11,11,11
2025-04-25,11,11,11
2025-05-02,11,11,11
2025-05-09,11,11,11
2025-05-16,11,11,11
2025-05-23,11,11,11
2025-05-30,11,11,11
2025-06-06,11,11,11
2025-06-13,11,11,11
2025-06-20,11,11,11
2025-06-27,11,11,11
2025-07-04,11,11,11
2025-07-11,11,11,11
2025-07-18,11,11,11
2025-07-25,11,11,11
2025-08-01,11,11,11
2025-08-08,11,11,11
2025-08-15,11,11,11
2025-08-22,11,11,11
2025-08-29,11,11,11
2025-09-05,11,11,11
2025-09-12,11,11,11
2025-09-19,11,11,11
2025-09-26,11,11,11
2025-10-03,11,11,11
2025-10-10,11,11,11
2025-10-17,11,11,11
2025-10-24,11,11,11
2025-10-31,11,11,11
2025-11-07,11,11,11
2025-11-14,11,11,11
2025-11-21,11,11,11
2025-11-28,11,11,11
2025-12-05,11,11,11
2025-12-12,11,11,11
2025-12-19,11,11,11
2025-12-26,11,11,11
2026-01-02,11,11,11
2026-01-09,11,11,11
2026-01-16,11,11,11
2026-01-23,11,11,11
2026-01-30,11,11,11
2026-02-06,11,11,11
2026-02-13,11,11,11
2026-02-20,11,11,11
2026-02-27,11,11,11
2026-03-06,11,11,11
2026-03-13,11,11,11
2026-03-20,11,11,11
2026-03-27,11,11,11
2026-04-03,11,11,11
2026-04-10,11,11,11
2026-04-17,11,11,11
